
2025-03-09T17:28:12.758Z | surkov | Вход в систему
2025-03-09T17:28:15.373Z | surkov | Использовал whoami
2025-03-09T17:29:57.984Z | surkov | Вход в систему
2025-03-09T17:30:37.496Z | surkov | Вход в систему
2025-03-09T17:30:45.078Z | sas | Изменение никнейма
2025-03-09T17:30:47.323Z | sas | Использовал whoami
2025-03-09T17:30:51.849Z | surkov | Изменение никнейма
2025-03-09T17:32:10.453Z | surkov | Вход в систему
2025-03-09T17:32:33.910Z | surkov | Разблокировал пользователя test
2025-03-09T17:32:40.491Z | test | Вход в систему
2025-03-09T17:32:44.882Z | test | Использовал whoami
2025-03-09T17:33:53.938Z | vanil | Вход в систему
2025-03-09T17:34:15.104Z | surkov | Вход в систему
2025-03-09T17:41:55.401Z | surkov | Вход в систему
2025-03-09T17:42:08.043Z | surkov | Удалил пользователя test
2025-03-10T05:49:10.410Z | test | Вход в систему
2025-03-10T05:49:19.580Z | surkov | Вход в систему
2025-03-10T05:49:38.892Z | test | Вход в систему
2025-03-10T05:49:51.448Z | test | Использовал whoami
2025-03-10T05:54:55.072Z | surkov | Вход в систему
2025-03-10T05:55:08.125Z | surkov | Заблокировал пользователя hello на 2 минут
2025-03-10T05:55:52.460Z | surkov | Вход в систему
2025-03-10T05:57:14.994Z | surkov | Вход в систему
2025-03-10T05:57:23.168Z | surkov | Использовал whoami
2025-03-10T06:03:43.277Z | surkov | Вход в систему
2025-03-10T06:05:00.143Z | surkov | Вход в систему
2025-03-10T06:07:16.567Z | surkov | Вход в систему
2025-03-10T06:08:08.834Z | surkov | Вход в систему
2025-03-10T06:08:24.412Z | surkov | Заблокировал пользователя hello на 2 минут
2025-03-10T06:09:05.713Z | hello | Вход в систему
